"DistinguishedName","Name","SID","RID","Type","IsBuiltin","DomainName","DomainFqdn"
"CN=Administrators,CN=Builtin,DC=sonicbeats37,DC=fm","Administrators","S-1-5-32-544","544","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Users,CN=Builtin,DC=sonicbeats37,DC=fm","Users","S-1-5-32-545","545","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Guests,CN=Builtin,DC=sonicbeats37,DC=fm","Guests","S-1-5-32-546","546","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Account Operators,CN=Builtin,DC=sonicbeats37,DC=fm","Account Operators","S-1-5-32-548","548","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Server Operators,CN=Builtin,DC=sonicbeats37,DC=fm","Server Operators","S-1-5-32-549","549","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Print Operators,CN=Builtin,DC=sonicbeats37,DC=fm","Print Operators","S-1-5-32-550","550","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Backup Operators,CN=Builtin,DC=sonicbeats37,DC=fm","Backup Operators","S-1-5-32-551","551","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Replicator,CN=Builtin,DC=sonicbeats37,DC=fm","Replicator","S-1-5-32-552","552","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=sonicbeats37,DC=fm","Pre-Windows 2000 Compatible Access","S-1-5-32-554","554","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Remote Desktop Users,CN=Builtin,DC=sonicbeats37,DC=fm","Remote Desktop Users","S-1-5-32-555","555","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Network Configuration Operators,CN=Builtin,DC=sonicbeats37,DC=fm","Network Configuration Operators","S-1-5-32-556","556","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Incoming Forest Trust Builders,CN=Builtin,DC=sonicbeats37,DC=fm","Incoming Forest Trust Builders","S-1-5-32-557","557","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Performance Monitor Users,CN=Builtin,DC=sonicbeats37,DC=fm","Performance Monitor Users","S-1-5-32-558","558","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Performance Log Users,CN=Builtin,DC=sonicbeats37,DC=fm","Performance Log Users","S-1-5-32-559","559","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Windows Authorization Access Group,CN=Builtin,DC=sonicbeats37,DC=fm","Windows Authorization Access Group","S-1-5-32-560","560","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Terminal Server License Servers,CN=Builtin,DC=sonicbeats37,DC=fm","Terminal Server License Servers","S-1-5-32-561","561","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Distributed COM Users,CN=Builtin,DC=sonicbeats37,DC=fm","Distributed COM Users","S-1-5-32-562","562","group","True","sonicbeats37","sonicbeats37.fm"
