"DistinguishedName","Name","SID","RID","Type","IsBuiltin","DomainName","DomainFqdn"
"CN=Administrators,CN=Builtin,DC=decryptmalfoy,DC=net","Administrators","S-1-5-32-544","544","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Users,CN=Builtin,DC=decryptmalfoy,DC=net","Users","S-1-5-32-545","545","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Guests,CN=Builtin,DC=decryptmalfoy,DC=net","Guests","S-1-5-32-546","546","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Account Operators,CN=Builtin,DC=decryptmalfoy,DC=net","Account Operators","S-1-5-32-548","548","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Server Operators,CN=Builtin,DC=decryptmalfoy,DC=net","Server Operators","S-1-5-32-549","549","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Print Operators,CN=Builtin,DC=decryptmalfoy,DC=net","Print Operators","S-1-5-32-550","550","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Backup Operators,CN=Builtin,DC=decryptmalfoy,DC=net","Backup Operators","S-1-5-32-551","551","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Replicator,CN=Builtin,DC=decryptmalfoy,DC=net","Replicator","S-1-5-32-552","552","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=decryptmalfoy,DC=net","Pre-Windows 2000 Compatible Access","S-1-5-32-554","554","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Remote Desktop Users,CN=Builtin,DC=decryptmalfoy,DC=net","Remote Desktop Users","S-1-5-32-555","555","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Network Configuration Operators,CN=Builtin,DC=decryptmalfoy,DC=net","Network Configuration Operators","S-1-5-32-556","556","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Incoming Forest Trust Builders,CN=Builtin,DC=decryptmalfoy,DC=net","Incoming Forest Trust Builders","S-1-5-32-557","557","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Performance Monitor Users,CN=Builtin,DC=decryptmalfoy,DC=net","Performance Monitor Users","S-1-5-32-558","558","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Performance Log Users,CN=Builtin,DC=decryptmalfoy,DC=net","Performance Log Users","S-1-5-32-559","559","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Windows Authorization Access Group,CN=Builtin,DC=decryptmalfoy,DC=net","Windows Authorization Access Group","S-1-5-32-560","560","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Terminal Server License Servers,CN=Builtin,DC=decryptmalfoy,DC=net","Terminal Server License Servers","S-1-5-32-561","561","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Distributed COM Users,CN=Builtin,DC=decryptmalfoy,DC=net","Distributed COM Users","S-1-5-32-562","562","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=IIS_IUSRS,CN=Builtin,DC=decryptmalfoy,DC=net","IIS_IUSRS","S-1-5-32-568","568","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Cryptographic Operators,CN=Builtin,DC=decryptmalfoy,DC=net","Cryptographic Operators","S-1-5-32-569","569","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Event Log Readers,CN=Builtin,DC=decryptmalfoy,DC=net","Event Log Readers","S-1-5-32-573","573","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Certificate Service DCOM Access,CN=Builtin,DC=decryptmalfoy,DC=net","Certificate Service DCOM Access","S-1-5-32-574","574","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=RDS Remote Access Servers,CN=Builtin,DC=decryptmalfoy,DC=net","RDS Remote Access Servers","S-1-5-32-575","575","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=RDS Endpoint Servers,CN=Builtin,DC=decryptmalfoy,DC=net","RDS Endpoint Servers","S-1-5-32-576","576","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=RDS Management Servers,CN=Builtin,DC=decryptmalfoy,DC=net","RDS Management Servers","S-1-5-32-577","577","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Hyper-V Administrators,CN=Builtin,DC=decryptmalfoy,DC=net","Hyper-V Administrators","S-1-5-32-578","578","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Access Control Assistance Operators,CN=Builtin,DC=decryptmalfoy,DC=net","Access Control Assistance Operators","S-1-5-32-579","579","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Remote Management Users,CN=Builtin,DC=decryptmalfoy,DC=net","Remote Management Users","S-1-5-32-580","580","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Storage Replica Administrators,CN=Builtin,DC=decryptmalfoy,DC=net","Storage Replica Administrators","S-1-5-32-582","582","group","True","decryptmalfoy","decryptmalfoy.net"
"CN=Administrator,CN=Users,DC=decryptmalfoy,DC=net","Administrator","S-1-5-21-2208274047-3363624789-3501831435-500","500","user","True","decryptmalfoy","decryptmalfoy.net"
"CN=Guest,CN=Users,DC=decryptmalfoy,DC=net","Guest","S-1-5-21-2208274047-3363624789-3501831435-501","501","user","True","decryptmalfoy","decryptmalfoy.net"
"CN=krbtgt,CN=Users,DC=decryptmalfoy,DC=net","krbtgt","S-1-5-21-2208274047-3363624789-3501831435-502","502","user","True","decryptmalfoy","decryptmalfoy.net"
