"DistinguishedName","Name","SID","RID","Type","IsBuiltin","DomainName","DomainFqdn"
"CN=Administrators,CN=Builtin,DC=kingslanding,DC=net","Administrators","S-1-5-32-544","544","group","True","kingslanding","kingslanding.net"
"CN=Users,CN=Builtin,DC=kingslanding,DC=net","Users","S-1-5-32-545","545","group","True","kingslanding","kingslanding.net"
"CN=Guests,CN=Builtin,DC=kingslanding,DC=net","Guests","S-1-5-32-546","546","group","True","kingslanding","kingslanding.net"
"CN=Account Operators,CN=Builtin,DC=kingslanding,DC=net","Account Operators","S-1-5-32-548","548","group","True","kingslanding","kingslanding.net"
"CN=Server Operators,CN=Builtin,DC=kingslanding,DC=net","Server Operators","S-1-5-32-549","549","group","True","kingslanding","kingslanding.net"
"CN=Print Operators,CN=Builtin,DC=kingslanding,DC=net","Print Operators","S-1-5-32-550","550","group","True","kingslanding","kingslanding.net"
"CN=Backup Operators,CN=Builtin,DC=kingslanding,DC=net","Backup Operators","S-1-5-32-551","551","group","True","kingslanding","kingslanding.net"
"CN=Replicator,CN=Builtin,DC=kingslanding,DC=net","Replicator","S-1-5-32-552","552","group","True","kingslanding","kingslanding.net"
"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=kingslanding,DC=net","Pre-Windows 2000 Compatible Access","S-1-5-32-554","554","group","True","kingslanding","kingslanding.net"
"CN=Remote Desktop Users,CN=Builtin,DC=kingslanding,DC=net","Remote Desktop Users","S-1-5-32-555","555","group","True","kingslanding","kingslanding.net"
"CN=Network Configuration Operators,CN=Builtin,DC=kingslanding,DC=net","Network Configuration Operators","S-1-5-32-556","556","group","True","kingslanding","kingslanding.net"
"CN=Incoming Forest Trust Builders,CN=Builtin,DC=kingslanding,DC=net","Incoming Forest Trust Builders","S-1-5-32-557","557","group","True","kingslanding","kingslanding.net"
"CN=Performance Monitor Users,CN=Builtin,DC=kingslanding,DC=net","Performance Monitor Users","S-1-5-32-558","558","group","True","kingslanding","kingslanding.net"
"CN=Performance Log Users,CN=Builtin,DC=kingslanding,DC=net","Performance Log Users","S-1-5-32-559","559","group","True","kingslanding","kingslanding.net"
"CN=Windows Authorization Access Group,CN=Builtin,DC=kingslanding,DC=net","Windows Authorization Access Group","S-1-5-32-560","560","group","True","kingslanding","kingslanding.net"
"CN=Terminal Server License Servers,CN=Builtin,DC=kingslanding,DC=net","Terminal Server License Servers","S-1-5-32-561","561","group","True","kingslanding","kingslanding.net"
"CN=Distributed COM Users,CN=Builtin,DC=kingslanding,DC=net","Distributed COM Users","S-1-5-32-562","562","group","True","kingslanding","kingslanding.net"
"CN=IIS_IUSRS,CN=Builtin,DC=kingslanding,DC=net","IIS_IUSRS","S-1-5-32-568","568","group","True","kingslanding","kingslanding.net"
"CN=Cryptographic Operators,CN=Builtin,DC=kingslanding,DC=net","Cryptographic Operators","S-1-5-32-569","569","group","True","kingslanding","kingslanding.net"
"CN=Event Log Readers,CN=Builtin,DC=kingslanding,DC=net","Event Log Readers","S-1-5-32-573","573","group","True","kingslanding","kingslanding.net"
"CN=Certificate Service DCOM Access,CN=Builtin,DC=kingslanding,DC=net","Certificate Service DCOM Access","S-1-5-32-574","574","group","True","kingslanding","kingslanding.net"
"CN=RDS Remote Access Servers,CN=Builtin,DC=kingslanding,DC=net","RDS Remote Access Servers","S-1-5-32-575","575","group","True","kingslanding","kingslanding.net"
"CN=RDS Endpoint Servers,CN=Builtin,DC=kingslanding,DC=net","RDS Endpoint Servers","S-1-5-32-576","576","group","True","kingslanding","kingslanding.net"
"CN=RDS Management Servers,CN=Builtin,DC=kingslanding,DC=net","RDS Management Servers","S-1-5-32-577","577","group","True","kingslanding","kingslanding.net"
"CN=Hyper-V Administrators,CN=Builtin,DC=kingslanding,DC=net","Hyper-V Administrators","S-1-5-32-578","578","group","True","kingslanding","kingslanding.net"
"CN=Access Control Assistance Operators,CN=Builtin,DC=kingslanding,DC=net","Access Control Assistance Operators","S-1-5-32-579","579","group","True","kingslanding","kingslanding.net"
"CN=Remote Management Users,CN=Builtin,DC=kingslanding,DC=net","Remote Management Users","S-1-5-32-580","580","group","True","kingslanding","kingslanding.net"
"CN=Storage Replica Administrators,CN=Builtin,DC=kingslanding,DC=net","Storage Replica Administrators","S-1-5-32-582","582","group","True","kingslanding","kingslanding.net"
"CN=Administrator,CN=Users,DC=kingslanding,DC=net","Administrator","S-1-5-21-740273710-242295789-2164128082-500","500","user","True","kingslanding","kingslanding.net"
"CN=Guest,CN=Users,DC=kingslanding,DC=net","Guest","S-1-5-21-740273710-242295789-2164128082-501","501","user","True","kingslanding","kingslanding.net"
"CN=krbtgt,CN=Users,DC=kingslanding,DC=net","krbtgt","S-1-5-21-740273710-242295789-2164128082-502","502","user","True","kingslanding","kingslanding.net"
