"DistinguishedName","Name","SID","RID","Type","IsBuiltin","DomainName","DomainFqdn"
"CN=Administrators,CN=Builtin,DC=vale,DC=net","Administrators","S-1-5-32-544","544","group","True","vale","vale.net"
"CN=Users,CN=Builtin,DC=vale,DC=net","Users","S-1-5-32-545","545","group","True","vale","vale.net"
"CN=Guests,CN=Builtin,DC=vale,DC=net","Guests","S-1-5-32-546","546","group","True","vale","vale.net"
"CN=Account Operators,CN=Builtin,DC=vale,DC=net","Account Operators","S-1-5-32-548","548","group","True","vale","vale.net"
"CN=Server Operators,CN=Builtin,DC=vale,DC=net","Server Operators","S-1-5-32-549","549","group","True","vale","vale.net"
"CN=Print Operators,CN=Builtin,DC=vale,DC=net","Print Operators","S-1-5-32-550","550","group","True","vale","vale.net"
"CN=Backup Operators,CN=Builtin,DC=vale,DC=net","Backup Operators","S-1-5-32-551","551","group","True","vale","vale.net"
"CN=Replicator,CN=Builtin,DC=vale,DC=net","Replicator","S-1-5-32-552","552","group","True","vale","vale.net"
"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=vale,DC=net","Pre-Windows 2000 Compatible Access","S-1-5-32-554","554","group","True","vale","vale.net"
"CN=Remote Desktop Users,CN=Builtin,DC=vale,DC=net","Remote Desktop Users","S-1-5-32-555","555","group","True","vale","vale.net"
"CN=Network Configuration Operators,CN=Builtin,DC=vale,DC=net","Network Configuration Operators","S-1-5-32-556","556","group","True","vale","vale.net"
"CN=Incoming Forest Trust Builders,CN=Builtin,DC=vale,DC=net","Incoming Forest Trust Builders","S-1-5-32-557","557","group","True","vale","vale.net"
"CN=Performance Monitor Users,CN=Builtin,DC=vale,DC=net","Performance Monitor Users","S-1-5-32-558","558","group","True","vale","vale.net"
"CN=Performance Log Users,CN=Builtin,DC=vale,DC=net","Performance Log Users","S-1-5-32-559","559","group","True","vale","vale.net"
"CN=Windows Authorization Access Group,CN=Builtin,DC=vale,DC=net","Windows Authorization Access Group","S-1-5-32-560","560","group","True","vale","vale.net"
"CN=Terminal Server License Servers,CN=Builtin,DC=vale,DC=net","Terminal Server License Servers","S-1-5-32-561","561","group","True","vale","vale.net"
