"GpoName","GpoPath","ActiveDirectoryRights","InheritanceType","ObjectType","InheritedObjectType","ObjectFlags","AccessControlType","IdentityReference","IsInherited","InheritanceFlags","PropagationFlags","SID","RID","IsBuiltIn","PrincipalType","DomainFqdn","DomainName"
"ER7-GP2","cn={637FCB19-25C8-45C2-AF30-5BBCEDFF0361},cn=policies,cn=system,DC=VALE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Descendents","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","CREATOR OWNER","False","ContainerInherit","InheritOnly","S-1-3-0","0","True","Local BuiltIn","vale.net","vale"
"ER7-GP2","cn={637FCB19-25C8-45C2-AF30-5BBCEDFF0361},cn=policies,cn=system,DC=VALE,DC=NET","GenericRead","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","ContainerInherit","None","S-1-5-9","9","True","foreignSecurityPrincipal","vale.net","vale"
"ER7-GP2","cn={637FCB19-25C8-45C2-AF30-5BBCEDFF0361},cn=policies,cn=system,DC=VALE,DC=NET","GenericRead","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\Authenticated Users","False","ContainerInherit","None","S-1-5-11","11","True","foreignSecurityPrincipal","vale.net","vale"
"ER7-GP2","cn={637FCB19-25C8-45C2-AF30-5BBCEDFF0361},cn=policies,cn=system,DC=VALE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit","None","S-1-5-18","18","True","Local BuiltIn","vale.net","vale"
"ER7-GP2","cn={637FCB19-25C8-45C2-AF30-5BBCEDFF0361},cn=policies,cn=system,DC=VALE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","VALE\Domain Admins","False","ContainerInherit","None","S-1-5-21-1404467377-1250967746-1241328025-512","512","True","group","vale.net","vale"
"ER7-GP2","cn={637FCB19-25C8-45C2-AF30-5BBCEDFF0361},cn=policies,cn=system,DC=VALE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","VALE\Enterprise Admins","False","ContainerInherit","None","S-1-5-21-1404467377-1250967746-1241328025-519","519","True","group","vale.net","vale"
"ER7-GP2","cn={637FCB19-25C8-45C2-AF30-5BBCEDFF0361},cn=policies,cn=system,DC=VALE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","VALE\devadmin","False","None","None","S-1-5-21-1404467377-1250967746-1241328025-1000","1000","False","user","vale.net","vale"
"ER7-GP2","cn={637FCB19-25C8-45C2-AF30-5BBCEDFF0361},cn=policies,cn=system,DC=VALE,DC=NET","ExtendedRight","All","edacfd8f-ffb3-11d1-b41d-00a0c968f939","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\Authenticated Users","False","ContainerInherit","None","S-1-5-11","11","True","foreignSecurityPrincipal","vale.net","vale"
"ER7-GP4","cn={6404C236-60AA-4264-8A79-675A05302FEC},cn=policies,cn=system,DC=VALE,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Descendents","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","CREATOR OWNER","False","ContainerInherit","InheritOnly","S-1-3-0","0","True","Local BuiltIn","vale.net","vale"
"ER7-GP4","cn={6404C236-60AA-4264-8A79-675A05302FEC},cn=policies,cn=system,DC=VALE,DC=NET","GenericRead","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","ContainerInherit","None","S-1-5-9","9","True","foreignSecurityPrincipal","vale.net","vale"
