"DistinguishedName","Name","SID","RID","Type","IsBuiltin","DomainName","DomainFqdn"
"CN=Administrators,CN=Builtin,DC=digirevenge,DC=net","Administrators","S-1-5-32-544","544","group","True","digirevenge","digirevenge.net"
"CN=Users,CN=Builtin,DC=digirevenge,DC=net","Users","S-1-5-32-545","545","group","True","digirevenge","digirevenge.net"
"CN=Guests,CN=Builtin,DC=digirevenge,DC=net","Guests","S-1-5-32-546","546","group","True","digirevenge","digirevenge.net"
"CN=Account Operators,CN=Builtin,DC=digirevenge,DC=net","Account Operators","S-1-5-32-548","548","group","True","digirevenge","digirevenge.net"
"CN=Server Operators,CN=Builtin,DC=digirevenge,DC=net","Server Operators","S-1-5-32-549","549","group","True","digirevenge","digirevenge.net"
"CN=Print Operators,CN=Builtin,DC=digirevenge,DC=net","Print Operators","S-1-5-32-550","550","group","True","digirevenge","digirevenge.net"
"CN=Backup Operators,CN=Builtin,DC=digirevenge,DC=net","Backup Operators","S-1-5-32-551","551","group","True","digirevenge","digirevenge.net"
"CN=Replicator,CN=Builtin,DC=digirevenge,DC=net","Replicator","S-1-5-32-552","552","group","True","digirevenge","digirevenge.net"
"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=digirevenge,DC=net","Pre-Windows 2000 Compatible Access","S-1-5-32-554","554","group","True","digirevenge","digirevenge.net"
"CN=Remote Desktop Users,CN=Builtin,DC=digirevenge,DC=net","Remote Desktop Users","S-1-5-32-555","555","group","True","digirevenge","digirevenge.net"
"CN=Network Configuration Operators,CN=Builtin,DC=digirevenge,DC=net","Network Configuration Operators","S-1-5-32-556","556","group","True","digirevenge","digirevenge.net"
"CN=Incoming Forest Trust Builders,CN=Builtin,DC=digirevenge,DC=net","Incoming Forest Trust Builders","S-1-5-32-557","557","group","True","digirevenge","digirevenge.net"
"CN=Performance Monitor Users,CN=Builtin,DC=digirevenge,DC=net","Performance Monitor Users","S-1-5-32-558","558","group","True","digirevenge","digirevenge.net"
"CN=Performance Log Users,CN=Builtin,DC=digirevenge,DC=net","Performance Log Users","S-1-5-32-559","559","group","True","digirevenge","digirevenge.net"
"CN=Windows Authorization Access Group,CN=Builtin,DC=digirevenge,DC=net","Windows Authorization Access Group","S-1-5-32-560","560","group","True","digirevenge","digirevenge.net"
"CN=Terminal Server License Servers,CN=Builtin,DC=digirevenge,DC=net","Terminal Server License Servers","S-1-5-32-561","561","group","True","digirevenge","digirevenge.net"
"CN=Distributed COM Users,CN=Builtin,DC=digirevenge,DC=net","Distributed COM Users","S-1-5-32-562","562","group","True","digirevenge","digirevenge.net"
"CN=IIS_IUSRS,CN=Builtin,DC=digirevenge,DC=net","IIS_IUSRS","S-1-5-32-568","568","group","True","digirevenge","digirevenge.net"
"CN=Cryptographic Operators,CN=Builtin,DC=digirevenge,DC=net","Cryptographic Operators","S-1-5-32-569","569","group","True","digirevenge","digirevenge.net"
"CN=Event Log Readers,CN=Builtin,DC=digirevenge,DC=net","Event Log Readers","S-1-5-32-573","573","group","True","digirevenge","digirevenge.net"
"CN=Certificate Service DCOM Access,CN=Builtin,DC=digirevenge,DC=net","Certificate Service DCOM Access","S-1-5-32-574","574","group","True","digirevenge","digirevenge.net"
"CN=RDS Remote Access Servers,CN=Builtin,DC=digirevenge,DC=net","RDS Remote Access Servers","S-1-5-32-575","575","group","True","digirevenge","digirevenge.net"
"CN=RDS Endpoint Servers,CN=Builtin,DC=digirevenge,DC=net","RDS Endpoint Servers","S-1-5-32-576","576","group","True","digirevenge","digirevenge.net"
"CN=RDS Management Servers,CN=Builtin,DC=digirevenge,DC=net","RDS Management Servers","S-1-5-32-577","577","group","True","digirevenge","digirevenge.net"
"CN=Hyper-V Administrators,CN=Builtin,DC=digirevenge,DC=net","Hyper-V Administrators","S-1-5-32-578","578","group","True","digirevenge","digirevenge.net"
"CN=Access Control Assistance Operators,CN=Builtin,DC=digirevenge,DC=net","Access Control Assistance Operators","S-1-5-32-579","579","group","True","digirevenge","digirevenge.net"
"CN=Remote Management Users,CN=Builtin,DC=digirevenge,DC=net","Remote Management Users","S-1-5-32-580","580","group","True","digirevenge","digirevenge.net"
"CN=Storage Replica Administrators,CN=Builtin,DC=digirevenge,DC=net","Storage Replica Administrators","S-1-5-32-582","582","group","True","digirevenge","digirevenge.net"
"CN=Administrator,CN=Users,DC=digirevenge,DC=net","Administrator","S-1-5-21-2814288781-3797451066-378831835-500","500","user","True","digirevenge","digirevenge.net"
"CN=Guest,CN=Users,DC=digirevenge,DC=net","Guest","S-1-5-21-2814288781-3797451066-378831835-501","501","user","True","digirevenge","digirevenge.net"
"CN=krbtgt,CN=Users,DC=digirevenge,DC=net","krbtgt","S-1-5-21-2814288781-3797451066-378831835-502","502","user","True","digirevenge","digirevenge.net"
"CN=Domain Admins,CN=Users,DC=digirevenge,DC=net","Domain Admins","S-1-5-21-2814288781-3797451066-378831835-512","512","group","True","digirevenge","digirevenge.net"
"CN=Domain Users,CN=Users,DC=digirevenge,DC=net","Domain Users","S-1-5-21-2814288781-3797451066-378831835-513","513","group","True","digirevenge","digirevenge.net"
"CN=Domain Guests,CN=Users,DC=digirevenge,DC=net","Domain Guests","S-1-5-21-2814288781-3797451066-378831835-514","514","group","True","digirevenge","digirevenge.net"
"CN=Domain Computers,CN=Users,DC=digirevenge,DC=net","Domain Computers","S-1-5-21-2814288781-3797451066-378831835-515","515","group","True","digirevenge","digirevenge.net"
"CN=Domain Controllers,CN=Users,DC=digirevenge,DC=net","Domain Controllers","S-1-5-21-2814288781-3797451066-378831835-516","516","group","True","digirevenge","digirevenge.net"
"CN=Cert Publishers,CN=Users,DC=digirevenge,DC=net","Cert Publishers","S-1-5-21-2814288781-3797451066-378831835-517","517","group","True","digirevenge","digirevenge.net"
"CN=Group Policy Creator Owners,CN=Users,DC=digirevenge,DC=net","Group Policy Creator Owners","S-1-5-21-2814288781-3797451066-378831835-520","520","group","True","digirevenge","digirevenge.net"
"CN=Read-only Domain Controllers,CN=Users,DC=digirevenge,DC=net","Read-only Domain Controllers","S-1-5-21-2814288781-3797451066-378831835-521","521","group","True","digirevenge","digirevenge.net"
"CN=Cloneable Domain Controllers,CN=Users,DC=digirevenge,DC=net","Cloneable Domain Controllers","S-1-5-21-2814288781-3797451066-378831835-522","522","group","True","digirevenge","digirevenge.net"
"CN=Protected Users,CN=Users,DC=digirevenge,DC=net","Protected Users","S-1-5-21-2814288781-3797451066-378831835-525","525","group","True","digirevenge","digirevenge.net"
"CN=Key Admins,CN=Users,DC=digirevenge,DC=net","Key Admins","S-1-5-21-2814288781-3797451066-378831835-526","526","group","True","digirevenge","digirevenge.net"
"CN=RAS and IAS Servers,CN=Users,DC=digirevenge,DC=net","RAS and IAS Servers","S-1-5-21-2814288781-3797451066-378831835-553","553","group","True","digirevenge","digirevenge.net"
