"GpoName","GpoPath","ActiveDirectoryRights","InheritanceType","ObjectType","InheritedObjectType","ObjectFlags","AccessControlType","IdentityReference","IsInherited","InheritanceFlags","PropagationFlags","SID","RID","IsBuiltIn","PrincipalType","DomainFqdn","DomainName"
"ER6-GP1","cn={0B361DC8-F295-4300-B5DB-04A0B9FB41DC},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Descendents","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","CREATOR OWNER","False","ContainerInherit","InheritOnly","S-1-3-0","0","True","Local BuiltIn","encryptpotter.net","encryptpotter"
"ER6-GP1","cn={0B361DC8-F295-4300-B5DB-04A0B9FB41DC},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","GenericRead","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","ContainerInherit","None","S-1-5-9","9","True","foreignSecurityPrincipal","encryptpotter.net","encryptpotter"
"ER6-GP1","cn={0B361DC8-F295-4300-B5DB-04A0B9FB41DC},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","GenericRead","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\Authenticated Users","False","ContainerInherit","None","S-1-5-11","11","True","foreignSecurityPrincipal","encryptpotter.net","encryptpotter"
"ER6-GP1","cn={0B361DC8-F295-4300-B5DB-04A0B9FB41DC},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit","None","S-1-5-18","18","True","Local BuiltIn","encryptpotter.net","encryptpotter"
"ER6-GP1","cn={0B361DC8-F295-4300-B5DB-04A0B9FB41DC},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","ENCRYPTPOTTER\Domain Admins","False","ContainerInherit","None","S-1-5-21-1092451709-2312608028-1547733439-512","512","True","group","encryptpotter.net","encryptpotter"
"ER6-GP1","cn={0B361DC8-F295-4300-B5DB-04A0B9FB41DC},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","ENCRYPTPOTTER\Enterprise Admins","False","ContainerInherit","None","S-1-5-21-1092451709-2312608028-1547733439-519","519","True","group","encryptpotter.net","encryptpotter"
"ER6-GP1","cn={0B361DC8-F295-4300-B5DB-04A0B9FB41DC},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","ENCRYPTPOTTER\devadmin","False","None","None","S-1-5-21-1092451709-2312608028-1547733439-1000","1000","False","user","encryptpotter.net","encryptpotter"
"ER6-GP1","cn={0B361DC8-F295-4300-B5DB-04A0B9FB41DC},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","ExtendedRight","All","edacfd8f-ffb3-11d1-b41d-00a0c968f939","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\Authenticated Users","False","ContainerInherit","None","S-1-5-11","11","True","foreignSecurityPrincipal","encryptpotter.net","encryptpotter"
"ER6-GP4","cn={156C22E5-7782-48B7-9840-6B25874BAD2A},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Descendents","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","CREATOR OWNER","False","ContainerInherit","InheritOnly","S-1-3-0","0","True","Local BuiltIn","encryptpotter.net","encryptpotter"
"ER6-GP4","cn={156C22E5-7782-48B7-9840-6B25874BAD2A},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","GenericRead","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","ContainerInherit","None","S-1-5-9","9","True","foreignSecurityPrincipal","encryptpotter.net","encryptpotter"
"ER6-GP4","cn={156C22E5-7782-48B7-9840-6B25874BAD2A},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","GenericRead","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\Authenticated Users","False","ContainerInherit","None","S-1-5-11","11","True","foreignSecurityPrincipal","encryptpotter.net","encryptpotter"
"ER6-GP4","cn={156C22E5-7782-48B7-9840-6B25874BAD2A},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit","None","S-1-5-18","18","True","Local BuiltIn","encryptpotter.net","encryptpotter"
"ER6-GP4","cn={156C22E5-7782-48B7-9840-6B25874BAD2A},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","ENCRYPTPOTTER\Domain Admins","False","ContainerInherit","None","S-1-5-21-1092451709-2312608028-1547733439-512","512","True","group","encryptpotter.net","encryptpotter"
"ER6-GP4","cn={156C22E5-7782-48B7-9840-6B25874BAD2A},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","ENCRYPTPOTTER\Enterprise Admins","False","ContainerInherit","None","S-1-5-21-1092451709-2312608028-1547733439-519","519","True","group","encryptpotter.net","encryptpotter"
"ER6-GP4","cn={156C22E5-7782-48B7-9840-6B25874BAD2A},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","ENCRYPTPOTTER\devadmin","False","None","None","S-1-5-21-1092451709-2312608028-1547733439-1000","1000","False","user","encryptpotter.net","encryptpotter"
"ER6-GP4","cn={156C22E5-7782-48B7-9840-6B25874BAD2A},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","ExtendedRight","All","edacfd8f-ffb3-11d1-b41d-00a0c968f939","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\Authenticated Users","False","ContainerInherit","None","S-1-5-11","11","True","foreignSecurityPrincipal","encryptpotter.net","encryptpotter"
"ER6-GP3","cn={1C6B721F-9B43-4C8A-A496-08B0E7980010},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Descendents","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","CREATOR OWNER","False","ContainerInherit","InheritOnly","S-1-3-0","0","True","Local BuiltIn","encryptpotter.net","encryptpotter"
"ER6-GP3","cn={1C6B721F-9B43-4C8A-A496-08B0E7980010},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","GenericRead","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","ContainerInherit","None","S-1-5-9","9","True","foreignSecurityPrincipal","encryptpotter.net","encryptpotter"
"ER6-GP3","cn={1C6B721F-9B43-4C8A-A496-08B0E7980010},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","GenericRead","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\Authenticated Users","False","ContainerInherit","None","S-1-5-11","11","True","foreignSecurityPrincipal","encryptpotter.net","encryptpotter"
"ER6-GP3","cn={1C6B721F-9B43-4C8A-A496-08B0E7980010},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit","None","S-1-5-18","18","True","Local BuiltIn","encryptpotter.net","encryptpotter"
"ER6-GP3","cn={1C6B721F-9B43-4C8A-A496-08B0E7980010},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","ENCRYPTPOTTER\Domain Admins","False","ContainerInherit","None","S-1-5-21-1092451709-2312608028-1547733439-512","512","True","group","encryptpotter.net","encryptpotter"
"ER6-GP3","cn={1C6B721F-9B43-4C8A-A496-08B0E7980010},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","ENCRYPTPOTTER\Enterprise Admins","False","ContainerInherit","None","S-1-5-21-1092451709-2312608028-1547733439-519","519","True","group","encryptpotter.net","encryptpotter"
"ER6-GP3","cn={1C6B721F-9B43-4C8A-A496-08B0E7980010},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","ENCRYPTPOTTER\devadmin","False","None","None","S-1-5-21-1092451709-2312608028-1547733439-1000","1000","False","user","encryptpotter.net","encryptpotter"
"ER6-GP3","cn={1C6B721F-9B43-4C8A-A496-08B0E7980010},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","ExtendedRight","All","edacfd8f-ffb3-11d1-b41d-00a0c968f939","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\Authenticated Users","False","ContainerInherit","None","S-1-5-11","11","True","foreignSecurityPrincipal","encryptpotter.net","encryptpotter"
"ER6-DC1","cn={1D26706F-4C2B-4514-8AC9-329959092970},cn=policies,cn=system,DC=ENCRYPTPOTTER,DC=NET","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Descendents","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","CREATOR OWNER","False","ContainerInherit","InheritOnly","S-1-3-0","0","True","Local BuiltIn","encryptpotter.net","encryptpotter"
